Simbolo	Ocurrencias	Frecuencia
ajo	211118	0.000468112
ajp	47	1.04213e-07
ajr	82	1.81819e-07
ajs	94	2.08426e-07
ajt	168	3.72506e-07
aju	16106	3.57118e-05
ajv	1	2.2173e-09
ajw	31	6.87363e-08
ajy	4	8.8692e-09
ajz	14	3.10422e-08
aka	3802	8.43017e-06
akb	94	2.08426e-07
akc	176	3.90245e-07
akd	32	7.09536e-08
ake	6326	1.40266e-05
akf	36	7.98228e-08
akg	2	4.4346e-09
akh	341	7.56099e-07
aki	5021	1.11331e-05
akj	5	1.10865e-08
akk	662	1.46785e-06
akl	399	8.84703e-07
akm	49	1.08648e-07
akn	22	4.87806e-08
ako	2088	4.62972e-06
akp	29	6.43017e-08
akr	787	1.74502e-06
aks	373	8.27053e-07
akt	209	4.63416e-07
aku	1383	3.06653e-06
akv	14	3.10422e-08
akw	13	2.88249e-08
aky	74	1.6408e-07
akz	10	2.2173e-08
ala	386526	0.000857044
alb	49320	0.000109357
alc	138302	0.000306657
ald	126272	0.000279983
ale	976584	0.00216538
alf	32292	7.16011e-05
alg	345636	0.000766379
alh	3899	8.64525e-06
ali	929294	0.00206052
alj	629	1.39468e-06
alk	2728	6.04879e-06
all	367087	0.000813942
alm	270367	0.000599485
aln	1604	3.55655e-06
alñ	3	6.6519e-09
alo	239681	0.000531445
alp	15157	3.36076e-05
alq	73146	0.000162187
alr	20970	4.64968e-05
als	29765	6.59979e-05
alt	251605	0.000557884
alu	124821	0.000276766
alv	78960	0.000175078
alw	120	2.66076e-07
alx	13	2.88249e-08
aly	1361	3.01775e-06
